episode_reward,avg_throughput,avg_latency,avg_energy,fault_violations,policy,arrival_rate,episode
-64.87599687989498,0.98,8521.11593078834,553.1239519427478,15,RoundRobin,0.0,0
-59.10998637140577,0.975,7491.768361196766,552.4890643063376,15,RoundRobin,0.0,1
-55.26555942709481,0.975,7823.323120098855,543.7384310597527,15,RoundRobin,0.0,2
-55.677655046279156,0.98,7807.216102460492,545.7515376472741,15,RoundRobin,0.0,3
-65.73845336151564,0.975,8855.893111747211,550.1546420365481,15,RoundRobin,0.0,4
-67.34757438432237,0.965,8467.013119899535,553.5682434973876,15,RoundRobin,0.0,5
-68.83635763469388,0.975,8068.1961736448975,561.8907708892367,15,RoundRobin,0.0,6
-77.31253493972272,0.97,9263.540899460018,561.3469343144436,15,RoundRobin,0.0,7
-48.733127294334196,0.98,7259.117022253631,540.2676377412187,15,RoundRobin,0.0,8
-59.72638493099803,0.97,8106.287352546835,546.6329912235751,15,RoundRobin,0.0,9
-62.52895780699737,0.97,8344.02520353314,548.6972098786978,15,RoundRobin,0.0,10
-55.94283338283513,0.97,7403.653702506645,547.281366751693,15,RoundRobin,0.0,11
-63.87142058826037,0.975,9012.91932158399,545.9408569881349,15,RoundRobin,0.0,12
-66.83398517922552,0.965,8278.451976128452,554.4949099836822,15,RoundRobin,0.0,13
-71.0777634412665,0.97,8428.173352726564,560.7630849873611,15,RoundRobin,0.0,14
-70.55568843905746,0.98,9069.493965936887,556.7080869651544,15,RoundRobin,0.0,15
-83.8349210357272,0.98,9532.599960389625,572.4589819100845,15,RoundRobin,0.0,16
-52.988747789226146,0.98,7599.657581861722,543.5862034470836,15,RoundRobin,0.0,17
-63.01345177111046,0.975,8574.499840563405,548.5996790915951,15,RoundRobin,0.0,18
-78.61731562916931,0.98,9216.739876953116,567.475314551176,15,RoundRobin,0.0,19
29.924835917258356,0.98,7054.029761904763,529.1264782669696,1,SJF,0.0,0
41.99065349545201,0.975,5657.313492063491,522.3481983282503,1,SJF,0.0,1
26.90773669236606,0.975,7263.772546897547,523.0144420393729,2,SJF,0.0,2
33.06714313305531,0.98,6281.648809523809,531.364446014703,1,SJF,0.0,3
19.88420921679705,0.975,7887.027777777777,535.440436174804,1,SJF,0.0,4
16.25914637933436,0.965,7921.496031746027,538.0678161452843,1,SJF,0.0,5
23.164906181094064,0.975,5854.168650793652,548.8151228712162,1,SJF,0.0,6
3.3008664988769807,0.97,6937.557539682541,551.3606823945418,3,SJF,0.0,7
21.70450705771511,0.98,6741.581349206347,536.7690072705701,2,SJF,0.0,8
26.10228781348904,0.97,6620.277777777777,528.7640682797663,2,SJF,0.0,9
27.27169489945651,0.97,6939.25992063492,539.1391183651008,0,SJF,0.0,10
27.766819939060646,0.97,6465.428571428571,535.1609129485521,1,SJF,0.0,11
31.466884808604707,0.975,6800.017857142854,527.8495120728074,1,SJF,0.0,12
35.38651425347,0.965,6928.394841269841,525.8146750483662,0,SJF,0.0,13
23.669854635950692,0.97,6519.228174603177,533.3221644746454,2,SJF,0.0,14
27.51774351918845,0.98,6876.410714285716,534.3356882926461,1,SJF,0.0,15
22.952917962589584,0.98,6664.085317460317,543.0938551989728,1,SJF,0.0,16
33.03413183653375,0.98,6103.200396825398,525.5199986737707,2,SJF,0.0,17
31.703203868453254,0.975,6242.138888888887,532.5159441973199,1,SJF,0.0,18
28.56554497635779,0.98,5915.16468253968,541.415200392606,1,SJF,0.0,19
29.924835917258356,0.98,7054.029761904763,529.1264782669696,1,GreedyMinMin,0.0,0
41.99065349545201,0.975,5657.313492063491,522.3481983282503,1,GreedyMinMin,0.0,1
26.90773669236606,0.975,7263.772546897547,523.0144420393729,2,GreedyMinMin,0.0,2
33.06714313305531,0.98,6281.648809523809,531.364446014703,1,GreedyMinMin,0.0,3
19.88420921679705,0.975,7887.027777777777,535.440436174804,1,GreedyMinMin,0.0,4
16.25914637933436,0.965,7921.496031746027,538.0678161452843,1,GreedyMinMin,0.0,5
23.164906181094064,0.975,5854.168650793652,548.8151228712162,1,GreedyMinMin,0.0,6
3.3008664988769807,0.97,6937.557539682541,551.3606823945418,3,GreedyMinMin,0.0,7
21.70450705771511,0.98,6741.581349206347,536.7690072705701,2,GreedyMinMin,0.0,8
26.10228781348904,0.97,6620.277777777777,528.7640682797663,2,GreedyMinMin,0.0,9
27.27169489945651,0.97,6939.25992063492,539.1391183651008,0,GreedyMinMin,0.0,10
27.766819939060646,0.97,6465.428571428571,535.1609129485521,1,GreedyMinMin,0.0,11
31.466884808604707,0.975,6800.017857142854,527.8495120728074,1,GreedyMinMin,0.0,12
35.38651425347,0.965,6928.394841269841,525.8146750483662,0,GreedyMinMin,0.0,13
23.669854635950692,0.97,6519.228174603177,533.3221644746454,2,GreedyMinMin,0.0,14
27.51774351918845,0.98,6876.410714285716,534.3356882926461,1,GreedyMinMin,0.0,15
22.952917962589584,0.98,6664.085317460317,543.0938551989728,1,GreedyMinMin,0.0,16
33.03413183653375,0.98,6103.200396825398,525.5199986737707,2,GreedyMinMin,0.0,17
31.703203868453254,0.975,6242.138888888887,532.5159441973199,1,GreedyMinMin,0.0,18
28.56554497635779,0.98,5915.16468253968,541.415200392606,1,GreedyMinMin,0.0,19
-74.14811016439062,0.98,8596.76055227023,551.3513202761537,17,Random,0.0,0
-61.093554508081105,0.975,8539.922325631884,553.5310308314346,14,Random,0.0,1
-53.79802465738399,0.975,9278.078871141755,550.9443271458002,12,Random,0.0,2
-69.8800676940428,0.98,9816.987369162485,556.4672152186018,14,Random,0.0,3
-71.07249880802512,0.975,8224.843344692805,548.835158109802,17,Random,0.0,4
-83.47633265821354,0.965,9077.840675677282,549.7639329062245,18,Random,0.0,5
-85.3840424952198,0.975,9071.177300227779,555.1854680407798,18,Random,0.0,6
-72.86941734231581,0.97,9195.118159747031,562.7980625757504,14,Random,0.0,7
-82.89093963040844,0.98,8599.302730562387,549.4426848705515,19,Random,0.0,8
-35.05978788577023,0.97,6887.329312435931,543.1037180167318,12,Random,0.0,9
-111.85039189600334,0.97,10844.134231026557,555.1783797647659,21,Random,0.0,10
-68.04897673078216,0.97,9640.045182157024,560.3130584567601,13,Random,0.0,11
-61.61948455600048,0.975,7766.372137000424,546.2818776009967,16,Random,0.0,12
-98.71760794964388,0.95,9317.108791154691,551.7224328040736,20,Random,0.0,13
-80.7958135322936,0.97,9605.739083607315,564.7420685459745,15,Random,0.0,14
-113.17717711829094,0.98,9261.02778020004,557.6665156556362,23,Random,0.0,15
-41.05629803847869,0.98,8070.579483016982,566.4492317105653,9,Random,0.0,16
-96.61072481651736,0.98,9193.818392206085,542.1717216949213,22,Random,0.0,17
-53.07281235568299,0.975,7679.50008185399,549.2437177968385,14,Random,0.0,18
-52.426279469460965,0.98,8795.623730028143,561.9788056339381,11,Random,0.0,19
11.24361714652963,0.98,5658.240079365081,532.2104135659199,6,DQN,0.0,0
11.918116938965792,0.97,5795.090950715949,527.4670060351076,6,DQN,0.0,1
-16.071531109823756,0.975,7452.1421425796425,540.7880173815189,8,DQN,0.0,2
17.89684613057184,0.98,5943.890873015875,534.6597129469993,4,DQN,0.0,3
-38.715297148038374,0.975,8812.370892995892,547.5116076850948,10,DQN,0.0,4
-39.11458381535818,0.96,8677.494103119105,545.5744287949652,10,DQN,0.0,5
-64.96774955006393,0.975,8465.484672190554,560.0122622753812,14,DQN,0.0,6
-5.6131473328648545,0.97,6277.779845154843,549.419702392904,6,DQN,0.0,7
42.093105530571705,0.98,5062.875,521.294466704142,2,DQN,0.0,8
1.253954910307081,0.97,5760.88992951493,536.271058268905,7,DQN,0.0,9
-20.74048842345624,0.97,6887.977550227552,536.6189346831362,10,DQN,0.0,10
18.521447980471052,0.96,5992.854076479074,535.7821413409818,3,DQN,0.0,11
44.933576516055915,0.97,4323.738095238097,513.6859923687738,3,DQN,0.0,12
41.356422633711844,0.96,4855.828282828284,519.2629115039779,2,DQN,0.0,13
-20.493224302222227,0.96,7339.481285054816,552.1845048878399,7,DQN,0.0,14
-26.592395716126422,0.975,7651.671398046398,539.7735509917719,10,DQN,0.0,15
-27.65256498403682,0.98,7881.2988955488945,555.5471574161152,8,DQN,0.0,16
62.879778343731644,0.965,4388.147560772561,507.43700443744916,0,DQN,0.0,17
21.488581244607214,0.97,5782.5449134199125,528.22422391231,4,DQN,0.0,18
5.829167750637103,0.975,5849.180375180376,537.363624997421,6,DQN,0.0,19
-17.731466669557484,0.98,7607.807262182266,535.6269346446959,9,PPO,0.0,0
-61.44662047166747,0.975,8161.304522165853,542.4681900080085,16,PPO,0.0,1
4.415793223596382,0.975,6767.521034521034,523.718620853916,7,PPO,0.0,2
-86.87978101309128,0.98,10082.072671998847,557.081017471647,17,PPO,0.0,3
-87.59943200124927,0.975,11991.887905460626,547.2221568527284,16,PPO,0.0,4
-42.82023834288696,0.965,8191.021558184675,534.2611634906683,13,PPO,0.0,5
-35.16950624278622,0.975,8685.121722618633,550.8381638606116,9,PPO,0.0,6
-37.86035877835735,0.97,8538.623049787328,547.4429307194504,10,PPO,0.0,7
-35.69023157708318,0.98,9182.522879360919,540.8926414513764,10,PPO,0.0,8
-1.7044542444731055,0.97,7673.801684426684,523.4924662068694,7,PPO,0.0,9
-17.069797050970934,0.97,7212.7429117365255,535.6900093708277,9,PPO,0.0,10
-68.13733841199264,0.97,10028.588296605469,549.4487129485399,14,PPO,0.0,11
-20.831009146803385,0.975,8436.352799977798,531.5693385204048,9,PPO,0.0,12
-82.97785024781902,0.965,10143.550448835127,554.4248213322124,16,PPO,0.0,13
-64.18414799998142,0.97,8600.62630444461,548.8705852599709,15,PPO,0.0,14
-69.84350454920312,0.97,10791.962405757298,552.6375951719888,13,PPO,0.0,15
-44.11737669338018,0.98,8672.752579313534,550.6212918262484,11,PPO,0.0,16
19.85989109458313,0.98,7396.0008186258165,518.646155990493,4,PPO,0.0,17
-65.47217802288053,0.975,9747.161139789567,549.2338167762148,14,PPO,0.0,18
-74.3885949771054,0.98,8219.731210495991,555.1053115711939,17,PPO,0.0,19
-20.244620121453785,1.55,9597.117511052707,618.9928725827065,15,RoundRobin,0.5,0
-44.92275769236542,1.465,11143.967727933656,620.8384269871451,15,RoundRobin,0.5,1
-21.896602899872434,1.455,9554.00470668723,598.1088619896237,15,RoundRobin,0.5,2
-36.7602060695749,1.425,10002.771247511604,607.6153678767577,15,RoundRobin,0.5,3
-34.89370831863819,1.48,9710.638872884534,622.4448126219966,15,RoundRobin,0.5,4
-32.94566718325355,1.485,8292.418921850795,633.5367304782234,15,RoundRobin,0.5,5
-30.178945397323535,1.42,9818.191934768693,599.4046906830672,15,RoundRobin,0.5,6
-36.03978331538556,1.425,8937.91495259818,617.3684403996945,15,RoundRobin,0.5,7
-8.01212546337219,1.52,8775.561346182685,600.5381360794136,15,RoundRobin,0.5,8
-37.99085802869057,1.425,9193.286766965819,617.9967061403436,15,RoundRobin,0.5,9
-29.18128676437254,1.34,8842.116175132021,586.6928845703708,15,RoundRobin,0.5,10
-38.88886754771161,1.375,9095.919988676964,607.7200214234743,15,RoundRobin,0.5,11
-24.558909601527727,1.45,8853.727942400394,607.154812920688,15,RoundRobin,0.5,12
-16.68850265941069,1.435,7810.154599130618,600.9913625969403,15,RoundRobin,0.5,13
-29.96299522033223,1.505,10423.723017812845,614.8809856701827,15,RoundRobin,0.5,14
-33.56936874136924,1.44,9095.695089721943,615.9927973045565,15,RoundRobin,0.5,15
-13.590073685805043,1.455,8123.699852168331,598.5218118591924,15,RoundRobin,0.5,16
-18.416964711445594,1.45,8061.066995616707,605.075844106618,15,RoundRobin,0.5,17
-30.577734294531183,1.415,9876.99456771712,598.2236503323425,15,RoundRobin,0.5,18
-22.075311524508287,1.5,8982.107853769789,611.0239966028338,15,RoundRobin,0.5,19
65.37165014360161,1.555,7405.715234112294,622.7910876775868,0,SJF,0.5,0
56.75206757946205,1.5,8001.184274896929,617.8612401567343,0,SJF,0.5,1
60.3142668918511,1.455,8012.42035742036,601.1668164454401,0,SJF,0.5,2
50.48715931827847,1.425,7993.779509383804,608.5752454381278,0,SJF,0.5,3
54.63320075075648,1.495,7391.8127691237205,625.2738839517516,0,SJF,0.5,4
51.41072877025532,1.51,7077.886020476769,629.1829326603262,1,SJF,0.5,5
66.9879380009297,1.42,7703.933760683759,585.182689152452,0,SJF,0.5,6
65.48003258736719,1.44,6367.055957930957,604.4764474975706,0,SJF,0.5,7
86.30293513448203,1.54,6641.779456654455,595.7695821883871,0,SJF,0.5,8
50.32245172234637,1.435,7184.276185007804,611.1078367514106,1,SJF,0.5,9
68.65454667575676,1.34,6572.672272172271,572.8641295368142,0,SJF,0.5,10
48.38652642081846,1.38,7064.01274542451,601.3440956599518,1,SJF,0.5,11
61.05043711394945,1.46,7433.268303076355,606.5249296013884,0,SJF,0.5,12
61.61939223430675,1.435,6433.644980019978,600.9181068283602,1,SJF,0.5,13
53.30290417458738,1.505,7702.559580147236,611.9726075167937,2,SJF,0.5,14
47.831653517546556,1.46,7316.205788492554,618.6566676272473,1,SJF,0.5,15
73.8819348700088,1.455,5993.638595065067,591.4843503394011,1,SJF,0.5,16
58.3618803846124,1.45,7154.004803611422,603.0711361905788,1,SJF,0.5,17
59.04801057180202,1.43,7938.755355841268,597.4791859397255,0,SJF,0.5,18
63.45318583867455,1.51,6862.227025425555,609.3101780131581,1,SJF,0.5,19
65.37165014360161,1.555,7405.715234112294,622.7910876775868,0,GreedyMinMin,0.5,0
56.75206757946205,1.5,8001.184274896929,617.8612401567343,0,GreedyMinMin,0.5,1
60.3142668918511,1.455,8012.42035742036,601.1668164454401,0,GreedyMinMin,0.5,2
50.48715931827847,1.425,7993.779509383804,608.5752454381278,0,GreedyMinMin,0.5,3
54.63320075075648,1.495,7391.8127691237205,625.2738839517516,0,GreedyMinMin,0.5,4
51.41072877025532,1.51,7077.886020476769,629.1829326603262,1,GreedyMinMin,0.5,5
66.9879380009297,1.42,7703.933760683759,585.182689152452,0,GreedyMinMin,0.5,6
65.48003258736719,1.44,6367.055957930957,604.4764474975706,0,GreedyMinMin,0.5,7
86.30293513448203,1.54,6641.779456654455,595.7695821883871,0,GreedyMinMin,0.5,8
50.32245172234637,1.435,7184.276185007804,611.1078367514106,1,GreedyMinMin,0.5,9
68.65454667575676,1.34,6572.672272172271,572.8641295368142,0,GreedyMinMin,0.5,10
48.38652642081846,1.38,7064.01274542451,601.3440956599518,1,GreedyMinMin,0.5,11
61.05043711394945,1.46,7433.268303076355,606.5249296013884,0,GreedyMinMin,0.5,12
61.61939223430675,1.435,6433.644980019978,600.9181068283602,1,GreedyMinMin,0.5,13
53.30290417458738,1.505,7702.559580147236,611.9726075167937,2,GreedyMinMin,0.5,14
47.831653517546556,1.46,7316.205788492554,618.6566676272473,1,GreedyMinMin,0.5,15
73.8819348700088,1.455,5993.638595065067,591.4843503394011,1,GreedyMinMin,0.5,16
58.3618803846124,1.45,7154.004803611422,603.0711361905788,1,GreedyMinMin,0.5,17
59.04801057180202,1.43,7938.755355841268,597.4791859397255,0,GreedyMinMin,0.5,18
63.45318583867455,1.51,6862.227025425555,609.3101780131581,1,GreedyMinMin,0.5,19
-39.36666761834148,1.55,10036.930923721338,628.7176231140203,17,Random,0.5,0
-23.966380459307288,1.485,9217.015979101596,619.2464268770466,14,Random,0.5,1
-15.376225155395812,1.45,10352.204431730604,602.3944978475181,12,Random,0.5,2
-39.75610201557566,1.42,10843.078207279425,612.0464491578489,14,Random,0.5,3
-45.12950288073234,1.48,9353.399595221897,626.0136579641016,17,Random,0.5,4
-57.658368393507494,1.455,9650.096189630602,628.3866868835858,18,Random,0.5,5
-52.23117692397863,1.405,10773.200783969169,597.6379583302456,18,Random,0.5,6
-11.666178627533755,1.44,7915.750813721471,601.2575106178075,14,Random,0.5,7
-30.278260249560102,1.54,8776.149623282317,608.9320437647989,19,Random,0.5,8
-16.96885150896503,1.435,8665.193286663904,616.2165376834726,12,Random,0.5,9
-65.44889953529567,1.34,9576.852934245057,586.9816728947377,21,Random,0.5,10
-36.969862742119865,1.38,10421.982260324867,609.1569537702555,13,Random,0.5,11
-25.2014621117526,1.455,8939.631746624545,601.095507448008,16,Random,0.5,12
-53.636487229000316,1.405,9336.697214085565,597.6744559167303,20,Random,0.5,13
-34.75449612541845,1.485,10893.668392629368,612.8387286544638,15,Random,0.5,14
-94.2739064709834,1.405,11083.240254101092,619.1616974195655,23,Random,0.5,15
30.615711360115363,1.455,6761.739931500338,589.4707735763238,9,Random,0.5,16
-64.2341712650972,1.42,9495.83787866951,600.8887159896199,22,Random,0.5,17
-23.922447881427882,1.425,9863.898847720755,598.3585821926551,14,Random,0.5,18
6.9209457422898755,1.51,7921.634887497189,613.3238673990901,11,Random,0.5,19
62.59745380878746,1.535,7226.207740616795,614.8179496212674,1,DQN,0.5,0
21.6608791828962,1.49,9372.091871741955,616.9098543799784,5,DQN,0.5,1
49.60521202662267,1.445,8893.392572232553,591.8016488099729,2,DQN,0.5,2
40.94963635680734,1.42,7847.820278128452,607.9451629616328,2,DQN,0.5,3
49.04789887207976,1.48,7009.080464817563,610.8464275085221,3,DQN,0.5,4
48.28703875460665,1.5,6990.774017327778,617.1524757121399,3,DQN,0.5,5
20.497089239623463,1.41,9555.22583851047,598.2573335939701,5,DQN,0.5,6
18.63221238675151,1.42,7521.66790328265,606.8566702903289,7,DQN,0.5,7
73.56493547783987,1.54,6757.511384448885,598.8349943232001,2,DQN,0.5,8
11.53990074023473,1.425,8799.709279786335,614.7427653715706,6,DQN,0.5,9
31.208841346261313,1.325,7011.0419444676445,576.337360480399,6,DQN,0.5,10
34.248246982722975,1.38,7834.403391489866,600.6179990025067,3,DQN,0.5,11
36.665673047631685,1.45,8178.521070299112,603.8948007958602,4,DQN,0.5,12
60.29061886953952,1.425,6038.449982207334,588.9680218558246,3,DQN,0.5,13
44.09260313004659,1.5,8440.91941540092,610.3928205663219,3,DQN,0.5,14
18.202682530418162,1.42,10295.650989043008,612.5351173029856,3,DQN,0.5,15
43.776247551690865,1.45,6569.61277335701,592.7091137122504,6,DQN,0.5,16
74.9182127535159,1.445,5830.600976637743,581.3972720799865,2,DQN,0.5,17
62.310520664855154,1.43,7900.010844010649,592.9341214066217,0,DQN,0.5,18
50.2326545037142,1.51,7574.181557107808,603.9833842304582,4,DQN,0.5,19
-15.491410971898507,1.515,10542.770383961264,609.6021830021963,13,PPO,0.5,0
-78.44452563323739,1.42,12595.637294826305,615.5560527964191,19,PPO,0.5,1
11.697758746714255,1.44,10634.72088876317,594.2408738810601,7,PPO,0.5,2
-146.5924439340361,1.315,12809.944492332605,600.8491654700612,31,PPO,0.5,3
-143.5710990162893,1.375,12760.102110963771,611.7657295257599,31,PPO,0.5,4
-37.90281007602037,1.425,9605.610373266796,606.6537217546293,16,PPO,0.5,5
8.284333183853276,1.42,9435.652278390648,582.6526297187044,10,PPO,0.5,6
-73.05208218895024,1.43,9534.22546904373,608.770094062032,23,PPO,0.5,7
71.93940566712169,1.52,7637.491489160997,588.3534680968687,2,PPO,0.5,8
-105.37331561570184,1.33,12630.054988951664,611.8894785229882,22,PPO,0.5,9
-54.23587619085116,1.315,10739.30378725002,578.4500802010263,18,PPO,0.5,10
-73.01176614599082,1.31,11176.397365576395,593.9300729287987,19,PPO,0.5,11
-110.49272113524604,1.385,11353.747110555372,599.8053577078706,28,PPO,0.5,12
-93.16950069098311,1.355,11119.835329263618,590.925733073102,25,PPO,0.5,13
-80.49925544217028,1.42,11669.72559163317,605.7213528385568,22,PPO,0.5,14
-145.44284293149562,1.335,15219.838072727756,619.9357217426935,26,PPO,0.5,15
-73.3516434371255,1.42,10050.225286453508,594.575437577607,24,PPO,0.5,16
-109.58771014239254,1.34,12314.794382395328,593.5484157720313,26,PPO,0.5,17
-27.597189948089216,1.39,11577.160282761824,587.2013423772772,13,PPO,0.5,18
-39.95623088536192,1.445,10407.69995862018,592.5150467004615,18,PPO,0.5,19
